id_loja,cod,varejista,nlj,tipo,cep,lat_long
1,34281297147541,RETAILER 4,STORE 34006,STORE TYPE 14,37912,"36.01,-83.98"
2,773722128207790,RETAILER 1,STORE 04811,STORE TYPE 24,74072,"36.95,-95.53"
3,1488252046285987,RETAILER 6,STORE 27008,STORE TYPE 16,92123,"32.81,-117.13"
4,1705254657447106,RETAILER 1,STORE 24515,STORE TYPE 24,41222,"37.76,-82.86"
5,2539921032015633,RETAILER 1,STORE 29072,STORE TYPE 24,53090,"43.46,-88.19"
6,3273927263807052,RETAILER 6,STORE 24739,STORE TYPE 23,71301,"31.27,-92.47"
7,3516635388850478,RETAILER 6,STORE 17934,STORE TYPE 23,39083,"31.84,-90.48"
8,3778099116897859,RETAILER 6,STORE 10879,STORE TYPE 23,30004,"34.15,-84.29"
9,4606943654902793,RETAILER 6,STORE 20668,STORE TYPE 23,16407,"41.92,-79.66"
10,4684719572599868,RETAILER 1,STORE 10481,STORE TYPE 15,37690,"36.25,-82.56"
11,4790405642195864,RETAILER 1,STORE 22330,STORE TYPE 24,48079,"42.86,-82.55"
12,5078684149305357,RETAILER 1,STORE 20855,STORE TYPE 18,37098,"35.87,-87.32"
13,5343416329792134,RETAILER 1,STORE 18218,STORE TYPE 24,72956,"35.47,-94.35"
14,6459072362165703,RETAILER 4,STORE 15275,STORE TYPE 14,33803,"28.01,-81.93"
15,7075747734972712,RETAILER 6,STORE 09743,STORE TYPE 23,30349,"33.62,-84.52"
16,7208323057658002,RETAILER 1,STORE 21766,STORE TYPE 18,12027,"42.94,-73.91"
17,7375683394259060,RETAILER 6,STORE 01993,STORE TYPE 23,74960,"35.81,-94.65"
18,8298363304598913,RETAILER 1,STORE 18344,STORE TYPE 24,38901,"33.76,-89.80"
19,9289436375333127,RETAILER 1,STORE 19897,STORE TYPE 24,65270,"39.41,-92.39"
20,9663953423532424,RETAILER 1,STORE 07497,STORE TYPE 24,73538,"34.75,-98.43"
21,9834239559472283,RETAILER 1,STORE 23735,STORE TYPE 24,26250,"39.03,-79.96"
22,10898749811740258,RETAILER 6,STORE 33048,STORE TYPE 23,93630,"36.73,-120.12"
23,10977242479328216,RETAILER 6,STORE 28589,STORE TYPE 23,29926,"32.24,-80.74"
24,11692492192277304,RETAILER 1,STORE 20454,STORE TYPE 24,47118,"38.30,-86.50"
25,12256582276953185,RETAILER 1,STORE 10241,STORE TYPE 18,19114,"40.07,-75.00"
26,12286013786271776,RETAILER 7,STORE 10752,STORE TYPE 20,93215,"35.78,-119.20"
27,12450960848577756,RETAILER 1,STORE 07382,STORE TYPE 18,70393,"29.99,-91.01"
28,12507256656158416,RETAILER 1,STORE 30534,STORE TYPE 18,18042,"40.65,-75.22"
29,12532171531926405,RETAILER 1,STORE 05307,STORE TYPE 18,39209,"32.40,-90.29"
30,12625493349846152,RETAILER 6,STORE 32945,STORE TYPE 23,34711,"28.53,-81.75"
31,12901044758552753,RETAILER 1,STORE 18379,STORE TYPE 18,74105,"36.10,-95.96"
32,13001415975637186,RETAILER 1,STORE 00296,STORE TYPE 24,36256,"33.05,-85.70"
33,13604219045279829,RETAILER 6,STORE 29698,STORE TYPE 23,93561,"35.12,-118.49"
34,14315856681444327,RETAILER 6,STORE 13210,STORE TYPE 23,32819,"28.45,-81.47"
35,14401019703441774,RETAILER 6,STORE 03094,STORE TYPE 23,37323,"35.10,-84.82"
36,14893209681133243,RETAILER 1,STORE 05899,STORE TYPE 18,33462,"26.58,-80.07"
37,15473221985452390,RETAILER 1,STORE 03657,STORE TYPE 24,49058,"42.64,-85.30"
38,15809576371610000,RETAILER 1,STORE 13451,STORE TYPE 24,35055,"34.15,-86.76"
39,16111734098713077,RETAILER 1,STORE 18408,STORE TYPE 24,43766,"39.59,-82.25"
40,16936018086448328,RETAILER 6,STORE 20630,STORE TYPE 23,31705,"31.52,-84.04"
41,16954869650964909,RETAILER 1,STORE 34132,STORE TYPE 24,31518,"31.51,-82.19"
42,17092327263419613,RETAILER 1,STORE 10446,STORE TYPE 24,61046,"42.10,-89.81"
43,17095565791165071,RETAILER 1,STORE 22892,STORE TYPE 24,77511,"29.38,-95.24"
44,17993392037327937,RETAILER 1,STORE 15684,STORE TYPE 24,62040,"38.73,-90.11"
45,18182804288808341,RETAILER 1,STORE 30428,STORE TYPE 24,79316,"33.14,-102.33"
46,18183406203622505,RETAILER 1,STORE 13025,STORE TYPE 24,78161,"29.29,-98.06"
47,18445315342107341,RETAILER 6,STORE 09718,STORE TYPE 23,01247,"42.70,-73.08"
48,18690557667676345,RETAILER 1,STORE 25373,STORE TYPE 24,62467,"39.13,-88.44"
