id_produto,nome_medicamento,categoria_regulatoria,numero_registro_produto,data_vencimento_registro,numero_processo,classe_terapeutica,cod_empresa,empresa_detentora_registro,principio_ativo
1,A SAÚDE DA MULHER,NOVO,102351059,2029-01-07,25351668917201032,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,57507378000365,EMS S/A,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SÓDIO +  TINTURA AGONIADA PLUMÉRIA
2,AAS,SIMILAR,183260386,2029-01-12,25351411966201938,ANALGESICOS NAO NARCOTICOS,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,ACIDO ACETILSALICILICO
4,ABBA,SIMILAR,146820078,2029-01-03,25351385248201818,AGENTES ANTINEOPLÁSICOS,05035244000123,SUN FARMACÊUTICA DO BRASIL LTDA,ACETATO DE ABIRATERONA
5,ABC,SIMILAR,106890153,2025-01-10,25351141033200572,ANTIMICOTICOS PARA USO TOPICO,92695691000103,KLEY HERTZ FARMACEUTICA S.A,CLOTRIMAZOL
6,ABCLER ABNAT,SIMILAR,144930011,2026-01-06,253510001840168,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA
7,ABERALGINA,SIMILAR,144930010,2026-01-06,253510299080047,ANALGESICOS NAO NARCOTICOS,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,DIPIRONA
8,ABLOK,SIMILAR,109740100,2025-01-05,250000035789980,BETABLOQUEADORES SIMPLES,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA,ATENOLOL
9,ABLOK PLUS,SIMILAR,109740092,2029-01-06,250000209279973,ANTI-HIPERTENSIVOS,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA,ATENOLOL +  CLORTALIDONA
10,ABRETIA,SIMILAR,103900192,2027-01-02,25351567981201697,ANTIDEPRESSIVOS,33349473000158,FARMOQUÍMICA S/A,CLORIDRATO DE DULOXETINA
11,ABRIFIT,FITOTERÁPICO,154230216,2029-01-07,25351356211201368,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,HEDERA HELIX L.
12,ABRILAR,FITOTERÁPICO,103900141,2028-01-05,25351164045200222,EXPECTORANTES + FITOTERAPICO SIMPLES,33349473000158,FARMOQUÍMICA S/A,HEDERA HELIX L.
