id_prestador,cod,rede,xpto,tipo,cep,lat_long
1,338193742057,REDE 3,PRESTADOR 0001,HOSPITAL,13570,"-22.63,-46.77"
2,202893757281,REDE 4,PRESTADOR 0002,PRONTO-SOCORRO,13507,"-23.08,-47.09"
3,747202429065,REDE 4,PRESTADOR 0003,PRONTO-SOCORRO,13326,"-22.75,-47.06"
4,423604871693,REDE 2,PRESTADOR 0004,PRONTO-SOCORRO,13484,"-22.98,-47.16"
5,791072192156,REDE 2,PRESTADOR 0005,CONSULTORIO,13936,"-23.07,-47.05"
6,621674243693,REDE 5,PRESTADOR 0006,CLINICA,13397,"-22.98,-47.18"
7,98676926429,REDE 4,PRESTADOR 0007,LABORATORIO,13094,"-22.83,-46.80"
8,302279124270,REDE 4,PRESTADOR 0008,PRONTO-SOCORRO,13617,"-23.08,-47.26"
9,846679603505,REDE 5,PRESTADOR 0009,PRONTO-SOCORRO,13222,"-22.86,-46.78"
10,342142552613,REDE 1,PRESTADOR 0010,CLINICA,13959,"-23.00,-46.86"
11,537225835972,REDE 2,PRESTADOR 0011,PRONTO-SOCORRO,13720,"-23.00,-46.75"
12,364558480798,REDE 3,PRESTADOR 0012,CONSULTORIO,13477,"-22.83,-47.08"
13,406260389877,REDE 5,PRESTADOR 0013,CONSULTORIO,13477,"-23.05,-46.71"
14,845240101425,REDE 3,PRESTADOR 0014,CLINICA,13379,"-22.94,-47.27"
15,254229384728,REDE 2,PRESTADOR 0015,HOSPITAL,13267,"-22.82,-46.95"
16,468358961101,REDE 3,PRESTADOR 0016,CLINICA,13200,"-22.94,-47.07"
17,279867237953,REDE 4,PRESTADOR 0017,PRONTO-SOCORRO,13670,"-22.63,-47.10"
18,915221741066,REDE 4,PRESTADOR 0018,CONSULTORIO,13471,"-23.02,-46.82"
19,161050846074,REDE 5,PRESTADOR 0019,CONSULTORIO,13188,"-22.64,-46.97"
20,585777869916,REDE 1,PRESTADOR 0020,HOSPITAL,13967,"-22.69,-47.27"
21,460998984401,REDE 2,PRESTADOR 0021,CLINICA,13069,"-22.75,-47.29"
22,510388312673,REDE 3,PRESTADOR 0022,HOSPITAL,13632,"-22.78,-46.74"
23,542201215051,REDE 4,PRESTADOR 0023,HOSPITAL,13006,"-22.83,-47.05"
24,589892423202,REDE 3,PRESTADOR 0024,PRONTO-SOCORRO,13293,"-23.09,-46.81"
25,485341352061,REDE 2,PRESTADOR 0025,HOSPITAL,13940,"-23.05,-47.21"
26,689429174674,REDE 5,PRESTADOR 0026,LABORATORIO,13834,"-22.92,-46.82"
27,418361278207,REDE 4,PRESTADOR 0027,CONSULTORIO,13578,"-22.98,-46.88"
28,762907658069,REDE 1,PRESTADOR 0028,HOSPITAL,13095,"-22.90,-47.07"
29,72173968482,REDE 1,PRESTADOR 0029,CLINICA,13084,"-22.85,-47.04"
30,374146123458,REDE 5,PRESTADOR 0030,HOSPITAL,13916,"-22.84,-47.27"
31,998750507408,REDE 5,PRESTADOR 0031,CONSULTORIO,13277,"-23.08,-47.26"
32,318918034515,REDE 5,PRESTADOR 0032,PRONTO-SOCORRO,13673,"-23.08,-46.74"
33,28530570661,REDE 2,PRESTADOR 0033,PRONTO-SOCORRO,13147,"-22.72,-46.87"
34,336747958508,REDE 2,PRESTADOR 0034,PRONTO-SOCORRO,13246,"-22.82,-46.79"
35,996455353821,REDE 5,PRESTADOR 0035,LABORATORIO,13393,"-22.72,-47.22"
36,770159724595,REDE 1,PRESTADOR 0036,PRONTO-SOCORRO,13763,"-22.61,-47.27"
37,265280350219,REDE 1,PRESTADOR 0037,LABORATORIO,13619,"-22.72,-46.73"
38,369804678633,REDE 1,PRESTADOR 0038,LABORATORIO,13802,"-22.60,-47.01"
39,617118586200,REDE 4,PRESTADOR 0039,CONSULTORIO,13190,"-22.76,-46.90"
40,856476610740,REDE 5,PRESTADOR 0040,LABORATORIO,13817,"-22.98,-47.26"
41,178654655654,REDE 4,PRESTADOR 0041,CLINICA,13757,"-22.91,-47.08"
42,14688044575,REDE 3,PRESTADOR 0042,CONSULTORIO,13368,"-22.72,-47.24"
43,212238401673,REDE 4,PRESTADOR 0043,CONSULTORIO,13570,"-22.82,-47.06"
44,104602074538,REDE 3,PRESTADOR 0044,PRONTO-SOCORRO,13095,"-22.80,-46.83"
45,434616436327,REDE 1,PRESTADOR 0045,LABORATORIO,13423,"-22.91,-47.25"
46,628050673162,REDE 2,PRESTADOR 0046,PRONTO-SOCORRO,13533,"-23.02,-47.07"
47,302654089655,REDE 3,PRESTADOR 0047,LABORATORIO,13504,"-23.03,-47.20"
48,470746747880,REDE 3,PRESTADOR 0048,CONSULTORIO,13801,"-23.06,-47.15"
49,801333078722,REDE 4,PRESTADOR 0049,PRONTO-SOCORRO,13631,"-23.00,-47.24"
50,15603463447,REDE 4,PRESTADOR 0050,LABORATORIO,13861,"-22.79,-46.82"
51,492451708045,REDE 3,PRESTADOR 0051,CONSULTORIO,13835,"-22.69,-46.91"
52,158581786231,REDE 3,PRESTADOR 0052,LABORATORIO,13617,"-22.63,-47.18"
53,204622935239,REDE 4,PRESTADOR 0053,LABORATORIO,13298,"-22.73,-46.92"
54,645516703300,REDE 2,PRESTADOR 0054,LABORATORIO,13385,"-22.96,-46.83"
55,136121781400,REDE 5,PRESTADOR 0055,CLINICA,13606,"-22.60,-47.19"
56,614592315249,REDE 1,PRESTADOR 0056,CONSULTORIO,13965,"-22.75,-47.04"
57,921784324767,REDE 1,PRESTADOR 0057,CONSULTORIO,13689,"-22.85,-46.92"
58,285917379943,REDE 2,PRESTADOR 0058,CONSULTORIO,13808,"-22.91,-47.03"
59,536554116458,REDE 5,PRESTADOR 0059,CONSULTORIO,13547,"-22.85,-46.75"
60,472532367627,REDE 5,PRESTADOR 0060,HOSPITAL,13809,"-22.62,-46.88"
61,601899308484,REDE 5,PRESTADOR 0061,HOSPITAL,13111,"-22.72,-46.91"
62,191913377709,REDE 5,PRESTADOR 0062,HOSPITAL,13576,"-22.61,-46.89"
63,374010000787,REDE 4,PRESTADOR 0063,HOSPITAL,13010,"-23.05,-47.17"
64,580143392415,REDE 5,PRESTADOR 0064,PRONTO-SOCORRO,13704,"-22.81,-47.03"
65,518486049382,REDE 5,PRESTADOR 0065,PRONTO-SOCORRO,13154,"-22.93,-47.29"
66,332571583281,REDE 4,PRESTADOR 0066,HOSPITAL,13118,"-22.68,-46.86"
