id_procedimento,nome_procedimento,categoria_procedimento,codigo_tuss,rol_ans,porte,especialidade
1,CONSULTA ELETIVA,CONSULTA,28456905,S,2,ORTOPEDIA
2,AVALIACAO MULTIDISCIPLINAR,CONSULTA,15834366,N,1,CLINICA MEDICA
3,CONSULTA DE RETORNO,CONSULTA,25613608,S,ESPECIAL,PEDIATRIA
4,COLECISTECTOMIA,CIRURGIA,24793519,N,ESPECIAL,GINECOLOGIA
5,CONSULTA DE RETORNO,CONSULTA,38361172,S,3,ORTOPEDIA
6,ELETROCARDIOGRAMA,EXAME,16859215,S,4,CARDIOLOGIA
7,SESSAO DE HEMODIALISE,TERAPIA,27751694,S,4,DERMATOLOGIA
8,CONSULTA PRE-OPERATORIA,CONSULTA,15288191,S,ESPECIAL,ONCOLOGIA
9,ARTROPLASTIA DE QUADRIL,CIRURGIA,14667767,S,2,GINECOLOGIA
10,CONSULTA DE RETORNO,CONSULTA,16778091,N,3,OFTALMOLOGIA
11,SESSAO DE QUIMIOTERAPIA,TERAPIA,34842424,S,2,GINECOLOGIA
12,AVALIACAO MULTIDISCIPLINAR,CONSULTA,21484920,S,2,OFTALMOLOGIA
13,INTERNACAO PEDIATRICA,INTERNACAO,47376264,S,3,CLINICA MEDICA
14,HEMOGRAMA COMPLETO,EXAME,31169695,N,3,CARDIOLOGIA
15,ECOCARDIOGRAMA,EXAME,31117675,S,4,NEUROLOGIA
16,INTERNACAO EM UTI,INTERNACAO,27775807,S,2,DERMATOLOGIA
17,APENDICECTOMIA,CIRURGIA,49230901,N,ESPECIAL,NEUROLOGIA
18,SESSAO DE QUIMIOTERAPIA,TERAPIA,19283286,N,1,CLINICA MEDICA
19,CONSULTA DE RETORNO,CONSULTA,20736210,N,ESPECIAL,CARDIOLOGIA
20,INTERNACAO OBSTETRICA,INTERNACAO,49989395,N,ESPECIAL,GINECOLOGIA
21,CIRURGIA CARDIACA,CIRURGIA,17687437,S,3,CARDIOLOGIA
22,SESSAO DE PSICOTERAPIA,TERAPIA,20613787,N,1,GINECOLOGIA
23,ARTROPLASTIA DE QUADRIL,CIRURGIA,44069940,S,3,DERMATOLOGIA
24,ARTROPLASTIA DE QUADRIL,CIRURGIA,20256869,S,2,DERMATOLOGIA
25,CIRURGIA CARDIACA,CIRURGIA,31753744,N,1,CARDIOLOGIA
26,SESSAO DE HEMODIALISE,TERAPIA,26069372,S,2,PSIQUIATRIA
27,CONSULTA ELETIVA,CONSULTA,42614267,S,ESPECIAL,ORTOPEDIA
28,COLONOSCOPIA,EXAME,46896694,S,3,DERMATOLOGIA
29,COLECISTECTOMIA,CIRURGIA,24213536,S,3,NEUROLOGIA
30,SESSAO DE PSICOTERAPIA,TERAPIA,44733926,N,1,PEDIATRIA
31,RAIO-X DE TORAX,EXAME,32688538,S,ESPECIAL,DERMATOLOGIA
32,ECOCARDIOGRAMA,EXAME,24778538,S,1,CLINICA MEDICA
33,RAIO-X DE TORAX,EXAME,12108087,S,1,DERMATOLOGIA
34,ULTRASSONOGRAFIA,EXAME,42575615,S,ESPECIAL,ORTOPEDIA
35,CIRURGIA DE CATARATA,CIRURGIA,41720415,S,4,NEUROLOGIA
36,RAIO-X DE TORAX,EXAME,16504916,N,3,NEUROLOGIA
37,INTERNACAO OBSTETRICA,INTERNACAO,13635366,S,1,NEUROLOGIA
38,SESSAO DE FISIOTERAPIA,TERAPIA,26687044,S,2,DERMATOLOGIA
39,INTERNACAO EM UTI,INTERNACAO,38311997,S,3,OFTALMOLOGIA
40,RAIO-X DE TORAX,EXAME,39738000,S,1,DERMATOLOGIA
